Image_ID,en_caption,is_multipic
figure02-04C.jpg,OCT image of the optic disc in congenital optic disc notch with retinal detachment. The same patient as Figures 2-4B shows a more pronounced depression in the notochord and retinal detachment of the temporal nerve of the optic disc,
figure02-15E.jpg,"OCT image of familial vitreous warts in both eyes (right). In the same patient as Figs. 2-15C and D, the RPE light band is seen to be irregularly elevated on the temporal side of the macular central sulcus corresponding to the vitreous warts, which is smaller than the vitreous warts in age-related macular degeneration",
figure02-19C.jpg,"OCT image of congenital retinal pigment epithelial hypertrophy in the right eye. No abnormality was seen on OCT at the hypertrophied area, and it is the same patient as Figure 2-19B",
figure02-32D.jpg,"OCT image of the right eye. Same patient as Figure 2-32A and B, showing grid-like changes in the retina in the macular region, with a cleavage cavity visible in the posterior pole retina",
figure02-32F.jpg,"OCT image of the left eye. The same patient as Figures 2-32C and D shows grid-like changes in the retina in the macular region, with a cleavage cavity visible in the posterior pole retina",
figure02-32H.jpg,"OCT image of the right eye. Same patient as Figures 2-32E and F, showing peripheral retinal splitting. Approximately 50% of patients with congenital macular splitting have peripheral splitting",
figure02-32J.jpg,"OCT image of the left eye. Same patient as Figure 2-32G, H, showing a visible split cavity in the posterior pole retina",
figure03-10K.jpg,"OCT image of the right eye, showing thinning of the retina in the macular region, with disorganization and loss of the outer retinal structures, in the same patient as in Figures 3-10I and J",
figure03-10L.jpg,"OCT image of the left eye, which shows retinal thinning in the macular region, with disorganization and loss of the outer retinal structures, in the same patient as in Figures 3-10K",
figure03-22G.jpg,OCT image of primary choroidal atrophy in the right eye. Same patient as Figure 3-22E and F. Significant retinal thinning in the macular area and irregular atrophy of the choroidal layer are seen,
figure03-22H.jpg,OCT image of primary choroidal atrophy in the left eye. Same patient as Figure 3-22G. Significant thinning of the retina in the macular region and irregular atrophy of the choroidal layer can be seen,
figure04-17D.jpg,"OCT image of central venous obstruction in the retinal hemisphere below the left eye. Same patient as Figure 4-17C, with intraretinal high signal for hard exudates",
figure06-03C.jpg,"OCT image of central plasma choroidal retinopathy in the left eye. Same patient as Figure 6-3B. Horizontal scan, clearly showing plasma neuroretinal detachment and pigment epithelial detachment",
figure06-03D.jpg,"OCT image of central plasma choroidal retinopathy in the left eye. Same patient as Figure 6-3C. Vertical scan, clearly showing plasma neuroretinal detachment and pigment epithelial detachment",
figure06-19B.jpg,"OCT image of macular lacunae in the right eye. Same patient as Figure 6-19A. Edema of the macular lenticule pore rim, posterior vitreous detachment, and aperture cover that has detached from the lenticule are visible",
figure06-21B.jpg,"OCT image of the macular antrum in the left eye. Same patient as Figure 6-21A. The premacular membrane can be seen covering the surface of the retinal tissue, and the retinal surface is uneven",
figure06-22B.jpg,"OCT image of the macular antrum in the left eye. Same patient as Figure 6-22A. It shows macular surface anterior membrane formation, formation of macular laminar holes, and macular edema",
figure07-09C.jpg,"OCT image of the right eye with Koyanagi-Harada syndrome. Same patient as Figures 7-9A, with visible plasma neuroretinal detachment",
figure07-09D.jpg,"OCT image of the left eye with Koyanagi-Harada syndrome. Same patient as Figures 7-9B, with visible plasma neuroretinal detachment",
figure07-09I.jpg,"OCT image of the right eye after 1 month of treatment for Koyanagi-Harada syndrome. Same patient as Figs. 7-9A, showing that the neuroretinal detachment has disappeared",
figure07-09J.jpg,"OCT image of the left eye after 1 month of treatment for Koyanagi-Harada syndrome. Same patient as Figs. 7-9B, showing that the neuroretinal detachment has disappeared",
